tt0845947,nm0601484
tt0104348,nm0001226
tt0311215,nm0534288
tt0133805,nm0308593
tt9108716,nm7162513
tt0223362,\N
tt0223363,nm0462860
tt0223363,nm0471993
tt0223364,nm0471993
tt0223364,nm0462860
tt0269279,nm0569955
tt0397062,nm1580473
tt7471374,nm7471822
tt0135431,nm0874997
tt0067142,nm0002189
tt0431787,nm1760883
tt5603304,nm5467664
tt0451068,nm1856795
tt0410023,\N
tt0150734,\N
tt3054236,\N
tt0167960,nm0280534
tt0243928,\N
tt0412778,\N
tt0193972,\N
tt0220489,\N
tt6819344,nm8946883
tt0440434,nm1388411
tt0179828,nm0417573
tt7976234,nm1274193
tt10900880,nm10952836
tt1312814,nm0746024
tt0070116,nm0730237
tt0366519,nm1252300
tt0095222,nm0557789
tt9723156,\N
tt6000938,\N
tt9875518,\N
tt0330333,nm0192463
tt0848628,nm1347157
tt0269281,nm0002089
tt0815675,nm2287980
tt0425067,nm1388439
tt0250403,nm0256983
tt0466007,nm1961193
tt0466007,nm1964093
tt0466007,nm0994402
tt0774583,nm2195138
tt0053868,nm0030762
tt0386491,nm0226387
tt0015861,nm0003433
tt0450429,nm1847730
tt0450429,nm1862941
tt0155722,nm0778280
tt0237274,nm1008761
tt9822542,nm10486736
tt9822542,nm10486737
tt8115958,\N
tt0959463,nm0636528
tt0032535,nm0661249
tt0434052,nm0318397
tt0379304,nm1099214
tt0489377,nm1756016
tt0044664,nm0524551
tt0219058,nm0660346
tt5056652,nm1530431
tt0459375,\N
tt0181557,nm0090486
tt0013181,nm0759253
tt0006726,nm0250480
tt0006726,nm9775302
tt0491394,nm0245385
tt0008014,nm0318397
tt0432869,nm0613924
tt0019933,nm0916224
tt9614866,\N
tt0018945,nm0189076
tt0333502,nm0989953
tt0445974,nm0263625
tt0295283,nm0241338
tt0325472,nm0194031
tt8746496,nm0950506
tt0273240,nm0899794
tt0044665,nm0909825
tt0787005,nm0216737
tt0366520,nm1192470
tt9014436,\N
tt8509942,nm6811378
tt0298890,nm0183117
tt0225865,nm0560135
tt8406720,nm6682657
tt0629836,\N
tt0839835,nm0963190
tt0933019,nm0514684
tt0059233,nm0369432
tt0322423,nm0937501
tt0022947,nm0913773
tt7018556,nm9065893
tt7018556,nm9065890
tt0132188,nm0649572
tt9191788,nm8270405
tt0056030,nm0753873
tt0418707,nm1893722
tt0145796,nm0925028
tt0145797,nm0925028
tt0132189,nm0925028
tt0028937,nm0235066
tt8989138,nm10117426
tt0304091,nm0394676
tt0488125,nm0317959
tt0425068,nm0883972
tt0425068,nm0276690
tt0420651,nm0497694
tt0085598,nm0464953
tt0101958,nm0586693
tt0302610,nm0417920
tt0130738,nm0666852
tt0492631,nm0653250
tt0079213,nm0958139
tt0123090,nm0695833
tt0123090,nm0626136
tt0301349,nm0874589
tt1649921,nm0836701
tt8827018,nm0257148
tt1678451,\N
tt0449028,nm1006269
tt0575567,nm0010573
tt0088525,\N
tt3095842,nm0313724
tt7767484,\N
tt8297482,nm0374394
tt8297482,nm4220576
tt0362683,nm0650183
tt10968240,nm4698953
tt0022948,nm0626885
tt0142313,nm0500722
tt0122510,nm0162272
tt7897818,nm7996760
tt0465187,nm0782703
tt0340133,nm0813510
tt1850370,nm4342811
tt1850370,nm4343722
tt0306906,nm0344780
tt0099670,nm0148269
tt0907119,nm0464846
tt0236258,nm0040395
tt0085599,nm0631799
tt0412780,nm1640497
tt0325443,nm1203847
tt0161934,nm0435562
tt0101959,nm0726954
tt0431077,nm0410658
tt0026393,nm0445033
tt0221197,nm0178876
tt0040381,nm0105175
tt0040381,nm0134831
tt0179835,nm0834378
tt0315901,nm1031045
tt0254359,nm0695173
tt0953414,nm0636528
tt0347088,nm0317230
tt0347088,nm0698759
tt0172499,nm0465998
tt0071559,nm0752982
tt10142024,nm0959108
tt0820083,nm2310967
tt0476780,nm2014467
tt8839664,nm7756954
tt2133584,nm4416167
tt0343728,nm1286636
tt0343728,nm1287275
tt0824675,nm2320591
tt0233804,\N
tt9893100,nm8591491
tt0431090,nm0353870
tt0459381,nm0198523
tt9375280,nm10299905
tt4496016,nm1271549
tt0116424,nm0033346
tt0116424,nm0138358
tt0350999,nm1122650
tt0816510,nm1557680
tt0816510,nm2272794
tt0954938,nm1342660
tt3550042,nm6273641
tt0236260,nm0019596
tt0011234,nm0843364
tt0011234,nm0624714
tt0459378,nm0332531
tt0133807,nm0736610
tt0459382,nm0132932
tt0459382,nm0925028
tt0162348,nm0430064
tt0061716,nm0522772
tt4858688,nm3817182
tt0329125,nm0453678
tt0322428,nm0850816
tt0322425,nm1107668
tt0203532,nm0634607
tt0407828,nm0840522
tt0217514,nm0110873
tt0202884,nm0773593
tt0044666,nm0819806
tt6899784,nm0755511
tt0456431,nm0523893
tt0459383,nm0319401
tt0138469,nm0520419
tt0846958,nm2364460
tt0304093,nm0461938
tt0164612,nm0250955
tt0308345,nm1127127
tt0193974,nm0494805
tt0169955,nm0925028
tt0432405,nm1760799
tt0317612,nm1100541
tt0243277,nm0794029
tt9313388,nm7290409
tt0225828,nm0003700
tt0370598,nm1556110
tt0345340,nm1288653
tt0345341,nm0081568
tt0309632,nm1135640
tt0099672,nm0418724
tt0956296,nm2535984
tt0113185,nm0795430
tt0340730,nm0168239
tt0441628,nm0479659
tt0169956,nm0172293
tt0220492,nm0747377
tt0065787,nm0857030
tt0253104,nm0068192
tt0030189,nm0383856
tt0053871,nm0025945
tt0813548,nm2289322
tt9735642,nm10456247
tt0009119,nm0934010
tt0426471,nm1732961
tt0518310,nm0533988
tt3432552,nm1394062
tt0225872,nm0713822
tt0347090,nm0871184
tt0339075,nm0349785
tt0237275,nm0038966
tt0237275,nm0875123
tt0339076,nm1273215
tt0314108,nm0737380
tt9575736,nm1785633
tt0835784,nm0193015
tt0016926,nm0107543
tt0301555,nm1077724
tt0301555,nm2197168
tt0353497,nm0436379
tt0380390,nm1450810
tt5264814,\N
tt0157706,nm0154206
tt0156574,nm0097866
tt0246651,nm0619694
tt0488833,nm0807547
tt0329126,nm0700582
tt0940513,nm0831339
tt0289962,nm0946146
tt6236936,nm1117731
tt0490952,nm0648473
tt0369465,nm0619711
tt9103300,nm8453741
tt0445014,\N
tt7718696,\N
tt0037746,nm0282984
tt0769763,nm10135855
tt0769763,nm0324382
tt0050447,nm0165493
tt0079216,nm0470749
tt0338070,nm0726167
tt0308320,nm1125802
tt0279835,\N
tt0390052,nm0262689
tt1594185,nm0501897
tt0059235,nm0742914
tt0805539,nm2272926
tt0347091,nm0465455
tt0455956,nm1905457
tt6084074,nm6735566
tt0889192,nm2276303
tt0427298,nm1502072
tt0874276,nm2186583
tt5158800,nm3341863
tt0129118,nm0782393
tt0322430,nm1190284
tt0119208,nm0229544
tt11041546,\N
tt6541558,nm8787220
tt0301350,nm0959746
tt0089211,nm0936130
tt0460134,nm0316794
tt0175673,nm0725893
tt0133808,nm0428177
tt2730266,nm4515123
tt0398082,nm1546966
tt0398404,nm1189034
tt6962912,\N
tt7230050,nm9186733
tt2024417,nm3661688
tt0450270,nm1475406
tt0347092,nm0090935
tt0119207,nm0842140
tt0399100,nm1552116
tt0602021,\N
tt8975776,\N
tt8655774,nm0784805
tt1790706,nm4196987
tt7211776,nm9175753
tt5377670,nm0840338
tt0235433,nm0450122
tt0243929,nm0887909
tt10974830,nm10994777
tt10974830,nm10994778
tt8434620,\N
tt0133809,nm0646058
tt0028940,nm0102908
tt0028941,nm0445033
tt0012225,nm0534288
tt0225868,nm0133854
tt0225869,nm0718909
tt0225870,nm0907867
tt0225871,nm0994320
tt0822811,nm0941708
tt5226560,nm5385840
tt0198517,nm0182457
tt0176774,nm0494944
tt0428583,nm1746012
tt3165194,nm3861038
tt0012226,nm0191605
tt0221987,nm0002061
tt0839836,nm0079258
tt0859611,nm0922798
tt0017940,nm0366689
tt0006730,nm0136888
tt0466552,nm1961863
tt0299938,nm0567236
tt0907467,nm0003021
tt0221220,nm0048838
tt8593116,nm4498599
tt8593116,nm4155045
tt0008017,nm0172413
tt0051666,nm0542649
tt0860911,nm0195773
tt1114675,nm1144217
tt0008018,nm0410271
tt0107023,nm0033081
tt0443520,nm1630025
tt0091126,nm0856693
tt7554756,nm9371882
tt0253103,nm0430968
tt0253103,nm0944017
tt0352374,nm1319236
tt0291956,nm0537695
tt0028942,nm0584778
tt0333504,nm0780860
tt0425069,nm0012137
tt0403077,nm0456645
tt9418980,nm4237585
tt0005399,nm0601190
tt0203533,nm0003116
tt0091124,nm0691289
tt0185341,nm0797520
tt0857280,nm0153861
tt7817370,nm9524716
tt7817370,nm9524717
tt0476550,nm0415514
tt0192077,nm0755032
tt0032537,nm1227768
tt0459384,nm1902874
tt0416778,nm1600788
tt0314110,nm1155121
tt0203222,nm0342674
tt0203222,nm0767514
tt9827892,nm1164403
tt0317584,nm1167913
tt6359744,nm8535787
tt0482718,nm0035229
tt0071563,nm0824046
tt0071564,nm0952480
tt0048126,nm0752982
tt0459379,nm0712730
tt0370597,nm0501045
tt0249542,nm0921810
tt0359337,nm0421814
tt0258619,nm0886936
tt0366525,nm0161071
tt0317585,nm1159548
tt0345342,nm1077174
tt0268335,nm0069198
tt0082626,nm0437608
tt0296656,nm1069526
tt0162978,nm0903772
tt0022950,nm0296627
tt0780030,nm1272773
tt0802997,nm0705746
tt0953416,nm0357624
tt9780696,nm9394819
tt0403075,nm1345757
tt0050446,nm0005062
tt6001802,\N
tt0068500,nm0095710
tt3483668,\N
tt8364652,nm0478713
tt0150737,nm0695462
tt1030304,nm0319299
tt1030304,nm1136338
tt6879574,\N
tt4921438,\N
tt0319453,nm1172022
tt0793521,nm0067323
tt0762099,nm0801521
tt9377576,nm3012175
tt9916076,\N
tt0356650,nm0158640
tt0396037,nm1015151
tt0365276,nm1370807
tt0325473,nm0871472
tt0013186,nm0281321
tt0013185,nm0782707
tt0332084,nm0264591
tt0359336,nm0326370
tt9763758,nm10467709
tt0260053,nm0546313
tt0416777,nm0172695
tt0416777,nm0746787
tt0059234,nm0571781
tt0178510,nm2211936
tt0178510,nm10175117
tt0895773,nm1324090
tt0895773,nm1824654
tt0953415,nm2539790
tt0275376,nm0657424
tt0282532,nm0440767
tt0113186,nm0793881
tt0393329,nm0001206
tt0315902,nm0412643
tt0315903,nm1142676
tt0330336,nm0453490
tt0312730,nm1107389
tt0311216,nm1136741
tt0311217,nm1136741
tt0315904,nm1142676
tt0330337,nm0453490
tt0052854,nm0053084
tt0297150,nm1058693
tt0213682,nm0651915
tt0262439,nm0898477
tt0299939,nm0252676
tt0263385,nm0534821
tt0303339,nm1101167
tt0165304,nm0331471
tt0369466,nm0196657
tt0351000,nm1314973
tt0360605,nm1349994
tt0412783,nm1140283
tt0309633,nm1138708
tt0384973,nm1154881
tt6626442,nm2264901
tt2393187,nm2335777
tt0095231,nm0504126
tt3855944,nm0581303
tt0182165,nm0000465
tt1981385,nm0123273
tt3243990,nm2302582
tt3243990,nm0644022
tt3243990,nm4276856
tt8681566,nm1274433
tt0082457,nm0472213
tt8595016,nm4892166
tt9657714,\N
tt6702164,\N
tt0137789,\N
tt0025185,nm0736778
tt1487725,nm0719320
tt9030910,\N
tt0016927,nm0577654
tt9694974,nm0813101
tt0219700,nm0324541
tt0496513,nm1703608
tt0496513,nm2105544
tt1406583,\N
tt0045850,nm0644983
tt0368751,\N
tt0025186,nm0303120
tt0312731,nm1064423
tt0010181,nm0695456
tt5602452,\N
tt0044667,nm0005062
tt0343729,nm0524995
tt10074312,nm10570427
tt0263386,nm0951698
tt0026420,nm0282984
tt3633766,nm1023473
tt0322431,nm0772431
tt0095232,nm0772431
tt8975018,nm8378910
tt8975018,nm10109778
tt7248180,nm5741914
tt0285145,\N
tt10343792,nm3615787
tt5120236,nm3208753
tt0165802,nm0427517
tt0241492,nm1226525
tt0027685,\N
tt2288808,nm3973010
tt8993130,nm3769419
tt0249543,\N
tt0249544,\N
tt0288546,\N
tt0399103,\N
tt0249545,\N
tt0311219,\N
tt0174688,nm0285551
tt0174689,nm0285551
tt0212186,nm0285551
tt0174690,nm0285551
tt0174691,\N
tt0174692,\N
tt0174693,nm0285551
tt0174694,nm0285551
tt0174695,nm0285551
tt0174696,nm0285551
tt0182167,nm0285551
tt0182168,nm0285551
tt0249546,nm0285551
tt0182169,nm0285551
tt0182170,nm0285551
tt0182171,nm0285551
tt0182172,nm0285551
tt0182173,nm0285551
tt0182174,nm0285551
tt0182178,nm0285551
tt0249547,nm0285551
tt0182181,nm0285551
tt0182182,nm0285551
tt0182183,nm0285551
tt0182184,nm0285551
tt0182185,nm0285551
tt0182186,nm0285551
tt0182187,nm0285551
tt0249548,nm0285551
tt0182188,nm0285551
tt0182189,nm0285551
tt0174697,nm0285551
tt0174698,nm0285551
tt8864974,\N
tt6874626,nm8983922
tt4398552,\N
tt0339077,\N
tt0385728,nm0627589
tt8285136,nm0994303
tt0025187,nm0160280
tt3827708,nm1637762
tt1984731,\N
tt9036356,\N
tt0133811,nm0936767
tt0445975,nm0911642
tt0246652,nm0906080
tt0038568,nm0583375
tt7827094,nm7057902
tt0489062,nm1371451
tt0034799,nm0128715
tt6587124,nm3049495
tt9573132,nm2093864
tt0818937,nm2306874
tt8986666,nm2337720
tt9296918,nm8518679
tt7971646,nm2415276
tt0407263,nm1000159
tt9425182,\N
tt0006732,nm0594291
tt4396462,\N
tt0074577,nm0696032
tt8710188,nm0391039
tt0008019,nm0447043
tt4767622,nm3720929
tt0036871,nm0329574
tt0026418,nm0002031
tt0026418,nm0562845
tt0026418,nm0282984
tt0363642,nm1134824
tt0134692,nm0529926
tt0291207,nm0868615
tt9015178,nm0368057
tt0060464,nm0297974
tt0399102,nm0457565
tt0064373,nm0393094
tt0279112,nm0437526
tt0188640,nm0645549
tt0048127,nm0643871
tt0255198,nm0856803
tt0070122,nm0297974
tt0071565,nm0297974
tt0366526,nm0856803
tt0208995,nm0417541
tt8852090,nm1121649
tt0377982,\N
tt0057109,nm0001536
tt4976294,nm0316552
tt0335133,nm0047971
tt0322432,nm0467624
tt0093101,nm4008610
tt0363643,nm0299206
tt0142315,nm0411030
tt0304118,nm0433657
tt0165803,nm0755727
tt0164613,nm0361752
tt0199568,nm0361752
tt0063017,nm0299175
tt0187068,nm0945617
tt0225876,nm0945617
tt0143278,nm0595097
tt0193975,nm0595097
tt0142316,nm0586281
tt0361668,nm0586281
tt0225878,nm0945617
tt0225879,nm0654725
tt0225880,nm0464678
tt0225881,nm0331471
tt0225882,nm0229578
tt0829180,nm0782865
tt0451746,nm1947983
tt0327789,nm0620052
tt0327790,nm0620052
tt0225883,nm0945617
tt0225884,nm0299175
tt0360608,nm1028636
tt0361655,nm1356989
tt0361656,nm1356989
tt0361657,nm1356989
tt0123092,nm0586281
tt0327791,nm0620052
tt0322433,nm0620052
tt0223375,nm0945617
tt0225877,nm0620052
tt0143279,nm0595097
tt0248042,nm0836909
tt0364379,nm1367768
tt0076090,nm0406728
tt0360609,nm0847477
tt0862706,nm2383655
tt0233809,nm0361672
tt0336534,nm0149134
tt7559780,\N
tt0419288,nm0998110
tt0363644,nm0223522
tt0297920,nm0046275
tt0297921,nm0046275
tt0251717,nm0030791
tt0466553,nm0403951
tt0374681,nm0403951
tt0085605,nm0527121
tt0272110,nm0631931
tt0382719,nm1466309
tt9372566,nm6355092
tt0002216,nm0000428
tt0015865,nm0861703
tt0015866,nm0607864
tt0006733,nm0898660
tt9793862,nm4604633
tt0047035,nm0872112
tt0104354,nm0344662
tt0025183,nm0076587
tt0460146,nm0782682
tt0365277,nm0332441
tt0365277,nm0365489
tt0368752,nm0743715
tt0017941,nm0250034
tt8517190,nm9823015
tt0030191,nm0258015
tt0024069,nm0503777
tt0026421,nm0000923
tt0027686,nm0045800
tt0026422,nm0000813
tt0019936,nm0215877
tt0113188,nm0229914
tt0236262,nm0006761
tt6516750,nm6700478
tt0021918,nm0045800
tt8364548,\N
tt9098352,\N
tt0131993,nm0572494
tt0131993,nm0918327
tt7345682,nm3911791
tt8756792,nm9637880
tt0219702,nm3170060
tt0099678,nm0185187
tt0019937,\N
tt10154722,nm4899088
tt8125304,nm9690116
tt8746558,\N
tt0460149,\N
tt0252474,nm0886385
tt1237881,nm1357620
tt6631282,nm5487785
tt4717546,nm1367646
tt11188088,nm8116813
tt7237624,nm5741914
tt0175674,nm0788879
tt2632514,nm0470230
tt6238206,\N
tt0033669,nm0256978
tt9243678,nm9680176
tt2319304,nm1121649
tt0124680,nm0904522
tt0048128,nm0931115
tt5500686,\N
tt9673638,nm6609511
tt6072406,nm0826541
tt1250750,nm2133264
tt0033670,nm0794973
tt0143280,\N
tt0051190,nm0106423
tt0384138,nm0797216
tt0460152,\N
tt6383634,nm2201425
tt0071568,nm0167195
tt2307589,nm1121649
tt0220493,nm0552726
tt0370599,nm1394993
tt0076091,nm0493803
tt0076091,nm0005711
tt0215816,nm0423760
tt0215816,nm0368936
tt0215816,nm0902819
tt6920568,\N
tt0008022,nm0054977
tt0043594,nm0623768
tt1569401,\N
tt4824010,nm2753910
tt0013192,nm0403636
tt1717780,\N
tt5230606,nm6426532
tt0208996,nm0247843
tt0208996,nm0934867
tt8071304,\N
tt0042512,nm0293989
tt0823606,nm1099918
tt7524698,nm4618825
tt9808504,nm9906191
tt2166979,nm0726975
tt9066624,nm8255089
tt7819524,nm2985037
tt0330338,nm1195267
tt0833594,nm1282228
tt0366527,nm1369426
tt0456135,nm1446188
tt0074578,nm0775573
tt0261710,nm0785773
tt0017942,nm0078340
tt0487909,nm2075804
tt0207495,nm0905729
tt0013188,nm0285643
tt0014950,nm0886754
tt9642146,nm3372967
tt0024072,nm0820461
tt0787006,nm5542053
tt0036874,nm0293989
tt0057111,nm0504496
tt8581898,\N
tt0148219,nm0157908
tt0053874,nm0293989
tt0247383,nm0894204
tt0116431,nm1369426
tt0391191,nm1516732
tt0322434,nm0524306
tt2651372,nm4030888
tt0167963,nm0925028
tt1001506,nm2611136
tt0113190,nm0117626
tt0014091,nm0861336
tt0030193,nm0437356
tt0054934,nm0235066
tt0085607,nm0150056
tt0459522,nm0521314
tt0032539,nm0547446
tt0032539,nm0747844
tt0032539,nm0851537
tt0060468,nm0049728
tt0144947,nm0541311
tt0144947,nm0442241
tt9869298,\N
tt7116698,\N
tt0418709,nm0003761
tt0045829,nm0002179
tt0162349,nm0085546
tt0239014,nm0085546
tt0239014,nm0703890
tt0087348,nm0085546
tt0084011,nm0165965
tt0412784,nm1288529
tt9869750,nm7921303
tt0306908,nm1114276
tt0365285,nm0870741
tt0107029,nm0695929
tt0246656,nm0344780
tt0353502,nm1130139
tt0143281,nm0321159
tt0104356,nm0321159
tt0104355,nm0684175
tt0780032,nm2209692
tt0325480,nm0136275
tt0498802,nm0014160
tt8984558,nm1113444
tt0961142,\N
tt0197523,nm0698327
tt0466373,nm1465953
tt0364625,nm1303040
tt0228338,\N
tt0198518,nm0789169
tt7467404,\N
tt0196591,\N
tt0349496,nm0379092
tt0135432,nm0489660
tt0089216,nm0714361
tt0165306,nm0296501
tt0757984,nm0313877
tt0460156,nm0204140
tt0460156,nm0325038
tt0428586,nm1743310
tt5722166,nm0797459
tt0470777,nm0059633
tt2470802,nm3905593
tt0472462,nm0154305
tt3349726,nm3885878
tt0076281,nm0633805
tt1855555,nm4354040
tt5893368,nm5940741
tt0122091,nm0755658
tt0427299,nm1032348
tt0058152,nm0659992
tt0178515,nm0682592
tt0189560,nm0510723
tt9383052,\N
tt0056035,nm0538987
tt0178516,nm0128764
tt1112210,\N
tt0772837,nm0439308
tt0063020,nm0323281
tt0408820,nm1032224
tt0382052,nm0092632
tt0381216,nm0762517
tt0255199,nm0700393
tt0290204,nm0008688
tt0497214,nm2157994
tt0079221,nm0611531
tt0495034,nm1460159
tt0408821,nm1140283
tt0415825,nm0661799
tt0780033,nm0664031
tt0375780,nm0879884
tt0379305,nm0030278
tt9240366,\N
tt0087142,nm0863726
tt0353504,nm1322349
tt6099900,nm8143173
tt6099900,nm8143180
tt0311220,nm0145061
tt9755470,nm0407941
tt3723392,nm0452047
tt0114865,nm0609580
tt0266591,nm0557903
tt0032541,nm0826452
tt0080807,nm0554924
tt0777866,nm1075619
tt0205974,nm0096539
tt0739739,nm0845964
tt0764776,nm0739388
tt0489715,nm2104645
tt0104357,nm0755465
tt0099679,nm0089821
tt0099679,nm0703850
tt0175678,nm0451940
tt0175678,nm0548633
tt5894512,nm1241008
tt5894512,nm2130769
tt0109918,nm0438808
tt0019939,nm0871184
tt0285583,nm0812479
tt0314113,nm0795876
tt0212969,nm0303886
tt0175679,nm0105874
tt0314112,nm0794598
tt0353505,nm0841268
tt0084013,nm0032118
tt0353501,nm0529390
tt0359341,nm1346518
tt0348624,nm1166408
tt0169958,nm0027975
tt0176777,nm0955587
tt0762100,nm0416119
tt0087350,nm0518192
tt0850284,nm2371091
tt0359342,nm0865548
tt0810396,nm1420410
tt0810398,nm1420410
tt0810397,nm1420410
tt0156575,nm0074163
tt0352376,nm0660707
tt0317226,nm0315842
tt0410026,nm1140283
tt0967935,nm2458632
tt0228340,nm0906709
tt0224038,nm0464678
tt0037747,nm0266164
tt0037747,nm0935383
tt0139248,nm2223387
tt0305609,nm0440023
tt0367808,nm1380038
tt0054933,nm0532030
tt0054933,nm0910199
tt0095226,nm0074757
tt0346909,nm0948159
tt0361659,nm1325468
tt0246657,nm0619694
tt6213768,nm0868643
tt0091135,nm0258820
tt9866980,nm10516907
tt0435806,nm0101038
tt0057112,nm0916977
tt2385753,nm0004634
tt5200728,nm0327591
tt4727144,nm3840743
tt8861584,\N
tt0347100,nm0720011
tt0174701,nm0291587
tt1620090,nm2015350
tt0315906,\N
tt2621100,nm0784010
tt2230268,\N
tt1143651,\N
tt3149876,nm5677403
tt0460158,nm0153713
tt9848108,nm4448682
tt0251101,nm0877084
tt0934448,nm1981784
tt0225874,nm0560929
tt0239015,nm0720745
tt0073059,nm0320637
tt9902974,nm0503053
tt2331860,nm2351889
tt0330339,nm1228549
tt0482292,nm0523781
tt0327799,nm0453678
tt0322438,nm0948577
tt0260991,nm0661791
tt0126749,nm0261979
tt0087915,nm0160900
tt0079883,nm2122702
tt0079883,nm0508561
tt0187079,nm0514905
tt0396039,nm1532211
tt0306909,nm0437652
tt0433328,nm0437652
tt0062375,nm0159201
tt0404077,\N
tt0330340,nm0453490
tt0340733,nm1253699
tt0361661,nm0453083
tt0294604,nm1045549
tt0376623,nm1425127
tt0330341,nm0453490
tt0319456,nm1159548
tt0396040,nm1015151
tt0395563,nm1394039
tt0113193,nm0946875
tt0372302,nm1398417
tt1010012,nm0946875
tt0343735,nm1273361
tt0093306,nm0939351
tt2361302,nm3017180
tt0333506,nm1254045
tt0465479,nm0387365
tt0194924,\N
tt7382368,nm1863394
tt0082463,nm0948021
tt0113194,nm0411027
tt0116436,nm0411027
tt0186171,\N
tt0846959,nm0755728
tt0846959,nm2119258
tt0846959,nm2364460
tt0440436,nm0949031
tt0315907,nm0409325
tt0361662,nm0903541
tt0266594,nm0650126
tt0361663,nm1356072
tt0059237,nm0366708
tt0372947,nm0351641
tt3817148,nm0070474
tt0068647,nm0556498
tt0459386,nm0634629
tt0177815,nm0634629
tt0368755,nm0634629
tt0368756,nm0634629
tt0315908,nm1155795
tt0381232,nm0768422
tt0345361,nm0369690
tt0263389,nm0230479
tt0317611,nm0369690
tt8507220,nm0408392
tt0351024,nm0854993
tt0287466,nm0351536
tt0345362,nm0059633
tt0470778,nm0059633
tt4490152,nm5663425
tt4490152,nm7174139
tt4490152,nm4514645
tt4490152,nm0814518
tt0050449,nm0293989
tt0972811,nm2074100
tt0814122,nm2293493
tt0390058,nm1110912
tt9776992,nm2535980
tt0262444,nm0530802
tt2874942,nm0585583
tt0452240,nm1294496
tt3961486,\N
tt0016931,nm0820461
tt0922446,nm0122594
tt0922446,nm0836170
tt7600524,\N
tt0032542,nm0128715
tt0814123,nm0847549
tt8929220,nm1952877
tt9458762,\N
tt0489486,nm1462820
tt0139251,\N
tt1857715,nm3765760
tt0233814,nm0352968
tt9068014,\N
tt0301356,\N
tt9811612,nm2775161
tt7222272,nm0188929
tt6567374,nm2129636
tt6567374,nm0262061
tt11086922,nm0732905
tt0498676,nm2158432
tt8477952,nm2979941
tt0438859,nm0000806
tt0010185,nm0256221
tt0030197,nm0564971
tt0259333,nm0096332
tt6289416,nm0828718
tt0217824,nm0522393
tt0064381,nm0670282
tt0121326,nm0410253
tt3598112,nm2269364
tt0415015,nm0124112
tt0360610,nm1349994
tt0500155,nm0626839
tt0077623,nm0532199
tt0065790,nm0316830
tt0183129,nm0071070
tt0014093,nm0832584
tt2636156,\N
tt0487155,\N
tt0219708,nm0208869
tt0955390,nm2342953
tt0020930,nm0784407
tt0301357,nm0065615
tt3690656,nm3318736
tt0119219,nm0423646
tt0495339,nm0057841
tt0039432,nm0128715
tt1408460,nm0818785
tt0426009,nm0880618
tt0880454,nm1721503
tt0043595,nm0792605
tt0049271,nm0920074
tt0583963,nm0020765
tt0152648,nm0468557
tt2468022,\N
tt0074581,nm0118041
tt0085612,nm0776209
tt1737170,\N
tt0082464,nm0614276
tt0048129,nm0409757
tt9530420,nm10366636
tt0489064,nm0317959
tt7738712,nm0883535
tt0925088,nm1637768
tt0314117,nm1164164
tt5895050,nm0780745
tt5895050,nm1161933
tt0233811,nm0569697
tt6047184,nm1372204
tt0269286,nm0614395
tt4680248,nm2617260
tt7249544,\N
tt8959616,nm4438955
tt0025192,nm0314351
tt0051673,nm0432846
tt0142320,nm0611932
tt6994550,nm9053220
tt0944101,nm0657734
tt9291516,nm0319328
tt9291516,nm10263904
tt4943102,\N
tt0311221,nm0358020
tt0182192,nm0249892
tt9866584,nm5604534
tt2108523,nm0130791
tt5077046,nm1358911
tt0340735,nm0597995
tt0327803,\N
tt9854846,nm7469291
tt2510786,nm2568960
tt7580254,\N
tt0139252,nm0293410
tt6347654,nm1891405
tt0031383,nm0355284
tt1057750,nm0578162
tt0010184,nm0577654
tt0460160,nm0160280
tt9540234,nm10371233
tt0079227,nm0692872
tt0219705,nm0221265
tt0219705,nm0222280
tt2567472,\N
tt0024074,nm0842257
tt0331253,nm1238458
tt0085613,nm0256357
tt9869510,\N
tt3297330,nm0629272
tt0410037,nm0217639
tt0248045,nm0602009
tt0329127,\N
tt9234834,nm2028601
tt5138210,nm0426851
tt0892058,nm1996256
tt0382720,nm0213458
tt0079228,nm0159007
tt0368757,nm1071906
tt0368757,nm1069032
tt0035949,nm0258015
tt4387928,nm5113400
tt0404079,nm1580757
tt5313150,nm8080433
tt0325481,nm0566501
tt0013196,nm0667024
tt5996106,\N
tt9853504,nm1207262
tt0061719,nm0000540
tt0806080,nm2265427
tt0483634,nm0502900
tt0028945,nm0890085
tt0025193,nm0533073
tt3631166,nm0057897
tt0460162,nm0045800
tt0048130,nm0467396
tt0314114,nm0193240
tt0460164,nm0045800
tt0474699,nm1664669
tt0019941,nm0332531
tt0188644,nm0076075
tt0139254,nm0010799
tt0343736,nm1047107
tt0497104,nm1309874
tt0093105,nm0001469
tt0150752,nm0205074
tt9052454,\N
tt0858138,nm0006975
tt0004030,nm0949648
tt9314322,\N
tt0467938,nm1543846
tt0099682,nm0782430
tt9416928,nm10314988
tt0433383,nm0000123
tt0445977,nm0907844
tt0445977,nm1006056
tt0032543,nm0005062
tt0109921,nm0648138
tt7924320,nm6171503
tt0146803,nm0111958
tt0333508,nm0529047
tt0333508,nm0602905
tt0279115,nm0408778
tt0819368,nm2085919
tt6225012,nm8566424
tt0851189,nm2277445
tt0460166,nm0807967
tt0009123,nm0000779
tt0314115,nm0313449
tt0009124,nm0250445
tt5861954,nm8265357
tt0036875,nm0763798
tt0097449,nm0118041
tt0340734,nm0204746
tt0294606,nm0050737
tt0022229,nm0928214
